"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.sale.SaleBatch.r";"com.axelor.apps.sale.db.SaleBatch";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Sale Read"
"perm.sale.SaleOrder.r";"com.axelor.apps.sale.db.SaleOrder";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Sale Read"
"perm.sale.AdvancePayment.r";"com.axelor.apps.sale.db.AdvancePayment";"x";;;;;;;"Sale Read"
"perm.sale.Configurator.r";"com.axelor.apps.sale.db.Configurator";"x";;;;;;;"Sale Read"
"perm.sale.ConfiguratorFormula.r";"com.axelor.apps.sale.db.ConfiguratorFormula";"x";;;;;;;"Sale Read"
"perm.sale.SaleOrderLine.r";"com.axelor.apps.sale.db.SaleOrderLine";"x";;;;;;;"Sale Read"
"perm.sale.SaleOrderLineTax.r";"com.axelor.apps.sale.db.SaleOrderLineTax";"x";;;;;;;"Sale Read"
"perm.sale.ConfiguratorCreator.r";"com.axelor.apps.sale.db.ConfiguratorCreator";"x";;;;;;;"Sale Read"
"perm.sale.SaleConfig.r";"com.axelor.apps.sale.db.SaleConfig";"x";;;;;;;"Sale Read"
"perm.sale.SaleOrderScheduleLine.r";"com.axelor.apps.sale.db.SaleOrderScheduleLine";"x";;;;;;;"Sale Read"
"perm.sale.ComplementaryProduct.r";"com.axelor.apps.sale.db.ComplementaryProduct";"x";;;;;;;"Sale Read"
"perm.sale.ComplementaryProductSelected.r";"com.axelor.apps.sale.db.ComplementaryProductSelected";"x";;;;;;;"Sale Read"
"perm.sale.ConfiguratorProductFormula.r";"com.axelor.apps.sale.db.ConfiguratorProductFormula";"x";;;;;;;"Sale Read"
"perm.sale.ConfiguratorSOLineFormula.r";"com.axelor.apps.sale.db.ConfiguratorSOLineFormula";"x";;;;;;;"Sale Read"
"perm.sale.CustomerCatalog.r";"com.axelor.apps.sale.db.CustomerCatalog";"x";;;;;;;"Sale Read"
"perm.sale.Pack.r";"com.axelor.apps.sale.db.Pack";"x";;;;;;;"Sale Read"
"perm.sale.PackLine.r";"com.axelor.apps.sale.db.PackLine";"x";;;;;;;"Sale Read"
"perm.sale.SaleBatch.rwc";"com.axelor.apps.sale.db.SaleBatch";"x";"x";"x";;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Sale User"
"perm.sale.SaleOrder.rwc";"com.axelor.apps.sale.db.SaleOrder";"x";"x";"x";;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Sale User"
"perm.sale.AdvancePayment.rwc";"com.axelor.apps.sale.db.AdvancePayment";"x";"x";"x";;;;;"Sale User"
"perm.sale.Configurator.rwc";"com.axelor.apps.sale.db.Configurator";"x";"x";"x";;;;;"Sale User"
"perm.sale.ConfiguratorFormula.rwc";"com.axelor.apps.sale.db.ConfiguratorFormula";"x";"x";"x";;;;;"Sale User"
"perm.sale.SaleOrderLine.rwc";"com.axelor.apps.sale.db.SaleOrderLine";"x";"x";"x";;;;;"Sale User"
"perm.sale.SaleOrderLineTax.rwc";"com.axelor.apps.sale.db.SaleOrderLineTax";"x";"x";"x";;;;;"Sale User"
