"importId";"vehicle.importId";"purchasePartner.importId";"invoiceRef";"vendorPartner.importId";"date";"liter";"pericePerLiter";"totalPrice"
"1";"1";"185";;"20";"TODAY[+5d]";"55";"1.559";"85.74499999999999"
"2";"1";"136";;"88";"TODAY[-15d]";"60";"1.559";"93.53999999999999"
"3";"2";"197";;"205";"TODAY[+40d]";"55";"1.506";"82.83"
"4";"3";"20";;"44";"TODAY[+20d]";"60";"1.559";"93.53999999999999"
"5";"4";"88";;"132";"TODAY[+25d]";"55";"1.506";"82.83"
"6";"2";"205";;"70";"TODAY[+50d]";"60";"1.506";"90.36"
"7";"6";"20";;"185";"TODAY[-24d]";"55";"1.506";"82.83"
"8";"7";"88";;"136";"TODAY[-26d]";"60";"1.506";"90.36"
"9";"8";"205";;"197";"TODAY[+17M]";"55";"1.559";"85.74499999999999"
"10";"9";"44";;"20";"TODAY[-50d]";"60";"1.506";"90.36"
"11";"10";"132";;"88";"TODAY[+21M]";"55";"1.559";"85.74499999999999"
"12";"1";"70";;"205";"TODAY[+2M]";"60";"1.506";"90.36"
"13";"2";"197";;"44";"TODAY[+6M]";"55";"1.559";"85.74499999999999"
"14";"3";"20";;"132";"TODAY[+3M]";"60";"1.506";"90.36"
