"importId";"name";"statusSelect";"typeSelect";"activationCost";"costFrequencySelect";"insurerPartner.importId";"purchaserPartner.importId";"reference";"invoiceDate";"startDate";"expiryDate"
"1";"Vehicle Contract 1";"0";"0";;"0";"20";"185";;"TODAY[+24d]";"TODAY[+24d]";"TODAY[+12M]"
"2";"Vehicle Contract 2";"1";"1";;"1";"88";"136";;"TODAY[+13d]";"TODAY[+13d]";"TODAY[+24M]"
"3";"Vehicle Contract 3";"2";"2";;"2";"205";"197";;"TODAY[+35d]";"TODAY[+35d]";"TODAY[+12M]"
"4";"Vehicle Contract 4";"3";"0";;"3";"44";"20";;"TODAY[+2d]";"TODAY[+2d]";"TODAY[+12M]"
"5";"Vehicle Contract 5";"0";"1";;"4";"132";"88";;"TODAY[+5d]";"TODAY[+5d]";"TODAY[+24M]"
"6";"Vehicle Contract 6";"1";"2";;"0";"70";"205";;"TODAY[+9d]";"TODAY[+9d]";"TODAY[+24M]"
"7";"Vehicle Contract 7";"2";"0";;"1";"185";"20";;"TODAY[+12d]";"TODAY[+12d]";"TODAY[+12M]"
"8";"Vehicle Contract 8";"3";"1";;"2";"136";"88";;"TODAY[+15d]";"TODAY[+15d]";"TODAY[+24M]"
"9";"Vehicle Contract 9";"0";"2";;"3";"197";"205";;"TODAY[+9d]";"TODAY[+9d]";"TODAY[+24M]"
"10";"Vehicle Contract 10";"1";"0";;"4";"20";"44";;"TODAY[+16d]";"TODAY[+16d]";"TODAY[+12M]"
"11";"Vehicle Contract 11";"2";"1";;"0";"88";"132";;"TODAY[+13d]";"TODAY[+13d]";"TODAY[+12M]"
"12";"Vehicle Contract 12";"3";"2";;"1";"205";"70";;"TODAY[+19d]";"TODAY[+19d]";"TODAY[+12M]"
"13";"Vehicle Contract 13";"1";"0";;"2";"44";"197";;"TODAY[+22d]";"TODAY[+22d]";"TODAY[+24M]"
"14";"Vehicle Contract 14";"2";"1";;"3";"132";"20";;"TODAY[+13d]";"TODAY[+13d]";"TODAY[+24M]"
