"statut_id";"statut_libelle";"statut_flag_facture";"statut_code"
1;"Active";0;"act"
2;"Under Creation";0;
3;"Unproductive";0;"imp"
5;"Maintained";0;"mai"
9;"Set";0;"dep"
10;"Canceled";0;"can"
12;"Draft";1;"dra"
13;"Modified";0;
14;"Resiliated";0;"res"
15;"Under Test";0;
16;"Validated";1;"val"
17;"Failed";0;"fai"
19;"To Check";0;
20;"Planified";0;
21;"Under realisation";0;"ure"
22;"In Service";0;"ens"
23;"Suspended";1;"sus"
24;"Ventilated";1;"dis"
27;"On going";0;"upr"
28;"Closed";0;"clo"
29;"Reimbursed";0;"rei"
30;"To validate";0;"tov"
31;"Under Alarm";0;"ala"
32;"Waiting receivability";0;"atr"
33;"Ongoing receivability";0;"ecr"
34;"Received";0;"rec"
35;"Rejected";0;"rej"
36;"Closed without resolution";0;"csr"
37;"Closed with partial resolution";0;"crp"
38;"Ongoing Cancellation";0;"eca"
39;"Open";0;"ope"
40;"Confirmer";1;"con"
41;"To Confirm";1;"toc"
