"name";"location.importId";"product.importId";"minQty";"reOrderQty";"typeSelect";"orderAlertSelect"
"Classic server";1;110;5;15;1;3
"High Performance Server";1;111;1;5;1;3
"InkJet Printer";1;120;10;20;1;2
"Laser Printer";1;121;5;15;1;2
"LED Screen HD 22 inch";1;130;3;9;1;2
"LED Screen HD 24 inch";1;131;5;15;1;2
"Hard Disk SATA 1To";1;200;10;30;1;2
"Hard Disk SSD 100 Go";1;201;5;20;1;2
"Processor 4x3,4 GHz";1;210;10;20;1;2
"Processor 6x3,2 GHz";1;211;5;15;1;2
"Rack Casing";1;220;25;60;1;2
"Memory 8 Go DDR3";1;230;10;30;1;2
"Memory 16 Go DDR3";1;231;5;15;1;2
"Classic MotherBoard";1;240;10;30;1;2
"High Performance MotherBoard";1;241;5;15;1;2
"Power Supply";1;250;30;60;1;2
"Cables set";1;300;40;100;1;1
"Screws set";1;301;40;100;1;1
"Ink Cartridge";1;302;20;80;1;2
"Laser Cartridge";1;303;20;80;1;2
"Paper ream 500 Sheets A4 Standard 80 g";1;304;10;50;1;2
"Inkball Pen medium (Box 50)";1;305;2;20;1;1
"Ground coffee 250g";1;306;4;30;1;1
"Bottle of Water (1,5L)";1;307;12;48;1;1
