"fileName";"filePath"
"20_120px.png";"partner/20_120px.png"
"44_120px.png";"partner/44_120px.png"
"88_120px.png";"partner/88_120px.png"
"132_120px.png";"partner/132_120px.png"
"185_120px.png";"partner/185_120px.png"
"197_120px.png";"partner/197_120px.png"
"205_120px.png";"partner/205_120px.png"
"136_120px.png";"partner/136_120px.png"
"70_120px.png";"partner/70_120px.png"
"77_128px.png";"partner/77_128px.png"
"148_128px.png";"partner/148_128px.png"
"152_128px.png";"partner/152_128px.png"
"170_128px.png";"partner/170_128px.png"
"224_128px.png";"partner/224_128px.png"
"237_128px.png";"partner/237_128px.png"
"1012_128px.png";"partner/1012_128px.png"
"1033_128px.png";"partner/1033_128px.png"
"1039_128px.png";"partner/1039_128px.png"
"1045_128px.png";"partner/1045_128px.png"
