"code";"name";"nextNum";"padding";"prefixe";"suffixe";"toBeAdded";"yearlyResetOk";"company.id";"journal.code"
"accountClearance";"Overpayment clearance";1;10;"ACCCLR_%Y_";;1;1;1;
"chequeReject";"Cheque reject";1;10;"CHQREJ_%Y_";;1;1;1;
"customerInvoice";"Customer Invoice";1;7;"INV_%Y";;1;1;1;
"customerRefund";"Customer Refund";1;7;"REF_%Y";;1;1;1;
"supplierInvoice";"Supplier Invoice";1;7;"SINV_%Y";;1;1;1;
"supplierRefund";"Supplier Refund";1;7;"SREF_%Y";;1;1;1;
"debit";"Direct debit (invoice and installments)";1;7;"DDINV_%Y_";;1;1;1;"ENC_PRE"
"debitReject";"Direct debit reject";1;7;"REJDD_%Y_";;1;1;1;"REJ_BNQ"
"doubtfulCustomer";"Transfer in doubtful receivables";1;7;"DBTREC_%Y_";;1;1;1;
"irrecoverable";"Transfer in irrecoverables";1;7;"IRRECOV_%Y_";;1;1;1;
"move";"Sales move line";1;7;"MVSAL_%Y_";;1;1;1;"VTE"
"move";"Refund move line";1;10;"MVREF_%Y_";;1;1;1;"AVR"
"move";"Purchase move line";1;7;"MVPUR_%Y_";;1;1;1;"ACH"
"move";"Purchase refund move line";1;10;"MVSREF_%Y_";;1;1;1;"AVRF"
"move";"Virtual move line";1;7;"MVVIRT_%Y_";;1;1;1;"TECH"
"move";"Move line for payments received in Cash";1;7;"MVCSH_%Y_";;1;1;1;"ENC_ESP"
"move";"Move line for payments received in Cheque";1;10;"MVCHQ_%Y_";;1;1;1;"ENC_CHQ"
"move";"Move line for payments received in Credit Card";1;10;"MVCC_%Y_";;1;1;1;"ENC_CB"
"move";"Move line for payments received in Internet";1;10;"MVWEB_%Y_";;1;1;1;"ENC_WEB"
"move";"Move line for payments received in IPO";1;10;"MVIPO_%Y_";;1;1;1;"ENC_TIP"
"move";"Move line for payments received in IPOC";1;10;"MVIPOC_%Y_";;1;1;1;"ENC_TEC"
"move";"Move line for payments received in Wire Transfer";1;10;"MVWT_%Y_";;1;1;1;"ENC_VIR"
"move";"Move line for payments received in Direct Debit (invoice and installments)";1;10;"MVDD_%Y_";;1;1;1;"ENC_PRE"
"move";"Move line for payments received in Other means";1;10;"MVOTH_%Y_";;1;1;1;"ENC_OTH"
"move";"Move line for payments received but rejected by the bank";1;10;"MVREJ_%Y_";;1;1;1;"REJ_BNQ"
"move";"Move line for automatic reimbursement";1;10;"MVCLTRBT_%Y_";;1;1;1;"RBT_CLT"
"move";"Move line for payments executed by Cash";1;7;"MVCSH_%Y_";;1;1;1;"DEC_ESP"
"move";"Move line for payments executed by Cheque";1;10;"MVCHQ_%Y_";;1;1;1;"DEC_CHQ"
"move";"Move line for payments executed by Credit Card";1;10;"MVCC_%Y_";;1;1;1;"DEC_CB"
"move";"Move line for payments executed by IPO";1;10;"MVIPO_%Y_";;1;1;1;"DEC_TIP"
"move";"Move line for payments executed by Wire Transfer";1;10;"MVWT_%Y_";;1;1;1;"DEC_VIR"
"move";"Move line for payments executed by Direct Debit (invoice and installments)";1;10;"MVDD_%Y_";;1;1;1;"DEC_PRE"
"move";"Move line for payments executed by Other means";1;10;"MVOTH_%Y_";;1;1;1;"DEC_OTH"
"move";"Miscellaneous Operation Automatic";1;10;"MVMISCAUTO_%Y_";;1;1;1;"OD_AUTO"
"move";"Miscellaneous Operation Manual";1;10;"MVMISCMANU_%Y_";;1;1;1;"OD_MAN"
